year,industry1,industry2,industry3,retrench,retrench_permanent,retrench_term_contract
2016,services,professional services,other professional services,280,260,20
2016,services,administrative and support services,security and investigation,20,-,20
2016,services,administrative and support services,cleaning and landscaping,60,50,10
2016,services,administrative and support services,other adminstrative and support services,260,170,90
2016,services,"community, social and personal services",public administration and education,50,40,10
2016,services,"community, social and personal services",health and social services,40,30,10
2016,services,"community, social and personal services","arts, entertainment and recreation",500,480,20
2016,services,"community, social and personal services","other community, social and personal services",260,230,30
2016,others,others,others,100,100,-
2017,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",190,190,10
2017,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",480,480,-
2017,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",300,290,10
2017,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",930,800,130
2017,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",920,920,10
2017,manufacturing,transport equipment,transport equipment,820,550,280
2017,manufacturing,other manufacturing industries,other manufacturing industries,150,110,30
2017,construction,construction,construction,2020,1190,830
2017,services,wholesale and retail trade,wholesale trade,1920,1900,20
2017,services,wholesale and retail trade,retail trade,260,250,10
2017,services,transportation and storage,land transport and supporting services,160,20,140
2017,services,transportation and storage,water transport and supporting services,300,290,-
2017,services,transportation and storage,air transport and supporting services,20,20,-
2017,services,transportation and storage,other transport and storage services,420,340,80
2017,services,accommodation and food services,accommodation,120,120,-
2017,services,accommodation and food services,food and beverage services,350,330,20
2017,services,information and communications,"telecommunications, broadcasting and publishing",500,480,10
2017,services,information and communications,it and other information services,450,420,30
2017,services,financial and insurance services,financial services,1720,1710,10
2017,services,financial and insurance services,insurance services,60,60,-
2017,services,real estate services,real estate services,70,70,10
2017,services,professional services,"legal, accounting and management services",860,830,30
2017,services,professional services,architectural and engineering services,560,480,80
2017,services,professional services,other professional services,280,270,10
2017,services,administrative and support services,security and investigation,120,120,-
2017,services,administrative and support services,cleaning and landscaping,70,50,10
2017,services,administrative and support services,other adminstrative and support services,230,210,20
2017,services,"community, social and personal services",public administration and education,40,30,10
2017,services,"community, social and personal services",health and social services,50,40,10
2017,services,"community, social and personal services","arts, entertainment and recreation",240,220,30
2017,services,"community, social and personal services","other community, social and personal services",130,100,20
2017,others,others,others,20,10,-
2018,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",200,150,50
2018,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",160,160,-
2018,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",180,170,-
2018,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",870,780,80
2018,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",670,570,100
2018,manufacturing,transport equipment,transport equipment,310,260,50
2018,manufacturing,other manufacturing industries,other manufacturing industries,190,190,-
2018,construction,construction,construction,1200,800,400
2018,services,wholesale and retail trade,wholesale trade,1580,1500,80
2018,services,wholesale and retail trade,retail trade,210,190,20
2018,services,transportation and storage,land transport and supporting services,200,200,-
2018,services,transportation and storage,water transport and supporting services,180,180,-
2018,services,transportation and storage,air transport and supporting services,20,20,-
2018,services,transportation and storage,other transport and storage services,300,290,10
2018,services,accommodation and food services,accommodation,10,10,-
2018,services,accommodation and food services,food and beverage services,340,330,10
2018,services,information and communications,"telecommunications, broadcasting and publishing",650,580,70
2018,services,information and communications,it and other information services,470,420,40
2018,services,financial and insurance services,financial services,1240,1230,20
2018,services,financial and insurance services,insurance services,80,80,-
2018,services,real estate services,real estate services,100,90,10
2018,services,professional services,"legal, accounting and management services",600,590,10
2018,services,professional services,architectural and engineering services,310,240,70
2018,services,professional services,other professional services,190,180,10
2018,services,administrative and support services,security and investigation,10,10,10
2018,services,administrative and support services,cleaning and landscaping,40,30,10
2018,services,administrative and support services,other adminstrative and support services,160,150,10
2018,services,"community, social and personal services",public administration and education,90,50,40
2018,services,"community, social and personal services",health and social services,20,20,-
2018,services,"community, social and personal services","arts, entertainment and recreation",130,120,-
2018,services,"community, social and personal services","other community, social and personal services",50,40,10
2018,others,others,others,-,-,-
2019,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",100,40,60
2019,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",170,160,10
2019,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",200,190,-
2019,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",690,650,40
2019,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",1160,1080,80
2019,manufacturing,transport equipment,transport equipment,120,110,10
2019,manufacturing,other manufacturing industries,other manufacturing industries,360,340,20
2019,construction,construction,construction,860,500,370
2019,services,wholesale and retail trade,wholesale trade,1850,1800,50
2019,services,wholesale and retail trade,retail trade,240,230,-
2019,services,transportation and storage,land transport and supporting services,60,60,-
2019,services,transportation and storage,water transport and supporting services,80,80,-
2019,services,transportation and storage,air transport and supporting services,50,40,-
2019,services,transportation and storage,other transport and storage services,580,570,10
2019,services,accommodation and food services,accommodation,20,20,-
2019,services,accommodation and food services,food and beverage services,150,130,20
2019,services,information and communications,"telecommunications, broadcasting and publishing",300,300,-
2019,services,information and communications,it and other information services,410,390,20
2019,services,financial and insurance services,financial services,1190,1170,20
2019,services,financial and insurance services,insurance services,110,110,-
2019,services,real estate services,real estate services,190,100,90
2019,services,professional services,"legal, accounting and management services",640,640,10
2019,services,professional services,architectural and engineering services,360,330,20
2019,services,professional services,other professional services,220,190,20
2019,services,administrative and support services,security and investigation,10,10,-
2019,services,administrative and support services,cleaning and landscaping,60,60,-
2019,services,administrative and support services,other adminstrative and support services,200,170,20
2019,services,"community, social and personal services",public administration and education,90,80,10
2019,services,"community, social and personal services",health and social services,100,90,-
2019,services,"community, social and personal services","arts, entertainment and recreation",20,20,-
2019,services,"community, social and personal services","other community, social and personal services",90,90,10
2019,others,others,others,30,30,-
2020,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",330,310,20
2020,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",230,230,-
2020,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",160,150,10
2020,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",1410,1190,210
2020,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",790,790,-
2020,manufacturing,transport equipment,transport equipment,1710,1650,50
2020,manufacturing,other manufacturing industries,other manufacturing industries,700,680,20
2020,construction,construction,construction,990,750,240
2020,services,wholesale and retail trade,wholesale trade,3810,3680,130
2020,services,wholesale and retail trade,retail trade,1180,1120,60
2020,services,transportation and storage,land transport and supporting services,120,120,-
2020,services,transportation and storage,water transport and supporting services,250,240,-
2020,services,transportation and storage,air transport and supporting services,2000,650,1350
2020,services,transportation and storage,other transport and storage services,410,390,20
2020,services,accommodation and food services,accommodation,710,710,10
2020,services,accommodation and food services,food and beverage services,990,870,120
2020,services,information and communications,"telecommunications, broadcasting and publishing",570,570,-
2020,services,information and communications,it and other information services,860,820,40
2020,services,financial and insurance services,financial services,1910,1830,80
2020,services,financial and insurance services,insurance services,230,220,10
2020,services,real estate services,real estate services,140,140,-
2020,services,professional services,"legal, accounting and management services",1200,1150,60
2020,services,professional services,architectural and engineering services,780,510,270
2020,services,professional services,other professional services,330,330,-
2020,services,administrative and support services,security and investigation,10,-,-
2020,services,administrative and support services,cleaning and landscaping,280,240,40
2020,services,administrative and support services,other adminstrative and support services,1320,860,460
2020,services,"community, social and personal services",public administration and education,230,200,30
2020,services,"community, social and personal services",health and social services,40,30,10
2020,services,"community, social and personal services","arts, entertainment and recreation",2210,1930,280
2020,services,"community, social and personal services","other community, social and personal services",210,150,60
2020,others,others,others,40,30,10
2021,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",110,100,-
2021,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",70,70,-
2021,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",500,450,50
2021,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",150,140,10
2021,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",690,680,-
2021,manufacturing,transport equipment,transport equipment,130,130,-
2021,manufacturing,other manufacturing industries,other manufacturing industries,70,70,-
2021,construction,construction,construction,240,210,40
2021,services,wholesale and retail trade,wholesale trade,1250,1230,20
2021,services,wholesale and retail trade,retail trade,160,150,-
2021,services,transportation and storage,land transport and supporting services,50,20,30
2021,services,transportation and storage,water transport and supporting services,140,130,10
2021,services,transportation and storage,air transport and supporting services,220,220,-
2021,services,transportation and storage,other transport and storage services,140,130,10
2021,services,accommodation and food services,accommodation,40,40,-
2021,services,accommodation and food services,food and beverage services,130,100,30
2021,services,information and communications,"telecommunications, broadcasting and publishing",380,360,10
2021,services,information and communications,it and other information services,670,580,80
2021,services,financial and insurance services,financial services,1250,1250,-
2021,services,financial and insurance services,insurance services,70,70,-
2021,services,real estate services,real estate services,100,100,-
2021,services,professional services,"legal, accounting and management services",660,650,-
2021,services,professional services,architectural and engineering services,160,140,20
2021,services,professional services,other professional services,100,90,10
2021,services,administrative and support services,security and investigation,10,10,-
2021,services,administrative and support services,cleaning and landscaping,20,20,-
2021,services,administrative and support services,other adminstrative and support services,310,120,200
2021,services,"community, social and personal services",public administration and education,60,50,10
2021,services,"community, social and personal services",health and social services,10,10,-
2021,services,"community, social and personal services","arts, entertainment and recreation",70,70,-
2021,services,"community, social and personal services","other community, social and personal services",40,30,-
2021,others,others,others,50,50,-
2022,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",30,30,-
2022,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",30,30,-
2022,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",220,200,20
2022,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",560,450,110
2022,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",870,630,230
2022,manufacturing,transport equipment,transport equipment,320,80,240
2022,manufacturing,other manufacturing industries,other manufacturing industries,80,80,-
2022,construction,construction,construction,260,110,150
